"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2024","11590","동작구","10500","흑석동","1","대지","0329","0000","우리유앤미","20241228","86000","59.661","0.000000","8","","","2003","아파트","중개거래","서울 동작구"
"2024","11710","송파구","10300","풍납동","1","대지","0511","0000","송파현대힐스테이트","20241228","118500","84.99","0.000000","10","","","2006","아파트","중개거래","서울 성동구, 서울 송파구"
"2024","11170","용산구","10100","후암동","1","대지","0423","0001","후암미주","20241228","89500","63.31","0.000000","1","","","1980","아파트","중개거래","서울 용산구"
"2024","11710","송파구","10800","문정동","1","대지","0652","0005","문정 아이파크","20241228","19100","21.57","31.750000","14","","","2017","오피스텔","중개거래","서울 송파구"
"2024","11710","송파구","10200","신천동","1","대지","0007","0000","장미1","20241228","209000","71.2","0.000000","1","","","1979","아파트","중개거래","서울 송파구"
"2024","11290","성북구","13300","정릉동","1","대지","1017","0000","쌍용2","20241228","48700","59.9","0.000000","4","","","1999","아파트","중개거래","서울 성북구"
"2024","11710","송파구","10800","문정동","1","대지","0618","0000","파크하비오","20241228","70900","58.84","74.570000","12","","","null","오피스텔","중개거래","서울 송파구"
"2024","11380","은평구","10300","불광동","1","대지","0281","0089","디앤제이하우징(281-89)","20241228","28400","24.77","0.000000","7","","","2022","아파트","직거래",""
"2024","11170","용산구","13100","한남동","1","대지","0807","0000","한남힐스테이트","20241228","181500","84.86","0.000000","6","","","2003","아파트","중개거래","서울 용산구"
"2024","11410","서대문구","11100","홍제동","1","대지","0315","0052","성지","20241228","20500","40.68","27.000000","-1","","","1986","연립다세대","중개거래","서울 서대문구"
"2024","11260","중랑구","10200","상봉동","1","대지","0484","0000","엘지,쌍용아파트","20241228","59500","68.12","0.000000","9","","","1996","아파트","중개거래","서울 중랑구"
"2024","11710","송파구","11200","오금동","1","대지","0619","0000","송파호반베르디움더퍼스트","20241228","132000","101.463","0.000000","5","","","2018","아파트","중개거래","서울 송파구"
"2024","11710","송파구","10800","문정동","1","대지","0652","0004","힐스테이트에코문정","20241228","22500","20.79","32.680000","5","","","2018","오피스텔","중개거래","서울 송파구"
"2024","11530","구로구","10700","개봉동","1","대지","0331","0002","성부빌라B동(331-2","20241228","24800","59.78","39.000000","2","","","1997","연립다세대","중개거래","서울 구로구"
"2024","11350","노원구","10400","하계동","1","대지","0273","0000","장미(시영6)","20241228","41000","39.92","0.000000","6","","","1989","아파트","중개거래","서울 노원구"
"2024","11320","도봉구","10600","방학동","1","대지","0346","0010","(346-10)","20241228","4500","30.02","21.000000","-1","","","1986","연립다세대","중개거래","서울 도봉구"
"2024","11740","강동구","10600","둔촌동","1","대지","0170","0001","올림픽파크 포레온","20241228","494000","167.98","0.000000","35","입주권","","0","아파트","중개거래","서울 강동구"
"2024","11470","양천구","10200","목동","1","대지","0647","0018","목동리치빌(647)","20241228","41000","71.53","41.000000","3","","","2007","연립다세대","중개거래","서울 강남구, 서울 양천구"
"2024","11500","강서구","10500","마곡동","1","대지","0758","0000","마곡시티오피스텔","20241228","16400","22.51","32.550000","8","","","2016","오피스텔","중개거래","서울 강서구"
"2024","11740","강동구","10200","고덕동","1","대지","0693","0000","고덕그라시움","20241228","148000","59.028","0.000000","4","","","2019","아파트","중개거래","서울 강동구"
"2024","11440","마포구","12500","성산동","1","대지","0600","0000","성사1차풍림아파트101동","20241228","65000","59.85","0.000000","14","","","2000","아파트","중개거래","서울 마포구"
"2024","11590","동작구","10900","신대방동","1","대지","0474","0001","대동빌라트","20241228","27500","42.89","19.000000","3","","","1996","연립다세대","중개거래","서울 동작구"
"2024","11215","광진구","10700","화양동","1","대지","0530","0000","씨즈건대힐스","20241228","16000","14.23","0.000000","2","","","2017","아파트","중개거래","서울 광진구"
"2024","11380","은평구","10400","갈현동","1","대지","0466","0004","골든빌(466-4)","20241228","16200","29.9","18.000000","4","","","2012","연립다세대","중개거래","서울 은평구"
"2024","11560","영등포구","11600","당산동6가","1","대지","0280","0003","당산리버뷰","20241228","34300","24.24","12.000000","5","","","2018","연립다세대","중개거래","서울 영등포구"
"2024","11440","마포구","11700","신정동","1","대지","0030","0000","서강GS","20241227","93000","59.98","0.000000","5","","","1999","아파트","중개거래","서울 양천구"
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","35227","27.78","40.240000","12","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","22990","17.25","25.440000","7","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","22990","17.25","25.440000","6","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","23185","17.25","25.440000","9","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","22698","17.25","25.440000","4","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","22795","17.25","25.440000","5","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","22795","17.25","25.440000","5","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","23185","17.25","25.440000","9","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","22795","17.25","25.440000","5","","","2023","오피스텔","직거래",""
"2024","11230","동대문구","10100","신설동","1","대지","0098","0028","동대문 프라임시티","20241227","21138","16.05","23.750000","4","","","2023","오피스텔","직거래",""
"2024","11470","양천구","10100","신정동","","","","","","20241227","90000","164.16","114.000000","","","","1983","단독다가구","중개거래","서울 양천구"
"2024","11500","강서구","10500","마곡동","1","대지","0773","0000","힐스테이트 에코 마곡역","20241227","17600","19.868","29.243000","8","","","2017","오피스텔","중개거래","서울 강서구"
"2024","11500","강서구","10300","화곡동","1","대지","0056","0398","호수빌라(56-398)","20241227","15000","45.32","25.000000","3","","","2001","연립다세대","직거래",""
"2024","11680","강남구","10500","삼성동","1","대지","0050","0000","현대힐스테이트2단지","20241227","149000","40.763","0.000000","9","","","2008","아파트","중개거래","서울 강남구"
"2024","11230","동대문구","10600","장안동","1","대지","0373","0003","현대썬앤빌601","20241227","10000","21.03","30.083000","15","","","2015","오피스텔","중개거래","서울 동대문구"
"2024","11230","동대문구","10600","장안동","1","대지","0373","0003","현대썬앤빌601","20241227","10000","21.03","30.083000","15","","","2015","오피스텔","중개거래","서울 동대문구"
"2024","11230","동대문구","10600","장안동","1","대지","0373","0003","현대썬앤빌601","20241227","10450","18.35","0.000000","16","","","2015","아파트","중개거래","서울 동대문구"
"2024","11560","영등포구","12700","양평동3가","1","대지","0079","0000","현대3차","20241227","93000","84.62","0.000000","17","","","1991","아파트","중개거래","서울 영등포구"
"2024","11260","중랑구","10500","망우동","1","대지","0479","0000","한일써너스빌리젠시 1단지","20241227","34900","59.61","77.210000","3","","","2008","오피스텔","중개거래","서울 중랑구"
"2024","11380","은평구","10700","응암동","1","대지","0227","0001","한성빌라(227-1)","20241227","12000","42.2","23.000000","2","","","1992","연립다세대","직거래",""
"2024","11560","영등포구","11400","당산동4가","1","대지","0029","0000","한강아파트","20241227","88000","59.4","0.000000","9","","","1999","아파트","중개거래","서울 영등포구"
"2024","11500","강서구","10300","화곡동","1","대지","0795","0017","하은빌리지","20241227","26600","35.7","21.000000","5","","","2016","연립다세대","중개거래","서울 강서구"
"2024","11410","서대문구","11700","연희동","1","대지","0437","0019","연희동양빌라트","20241227","27000","42.02","19.000000","4","","20241230","1998","연립다세대","중개거래","서울 서대문구"
"2024","11500","강서구","10500","마곡동","1","대지","0793","0009","플레이스에이치","20241227","13000","18.38","27.280000","5","","","2015","오피스텔","직거래",""
"2024","11200","성동구","10500","마장동","1","대지","0775","0004","트레저힐스(201동,202동)","20241227","31900","27.31","13.000000","7","","","2018","연립다세대","중개거래","서울 성동구"
"2024","11590","동작구","10200","상도동","1","대지","0279","0403","창조빌라","20241227","24000","54.63","33.000000","-1","","","1993","연립다세대","중개거래","서울 마포구"
"2024","11230","동대문구","10200","용두동","1","대지","0255","0058","창보리버리치","20241227","43400","33.94","6.000000","20","","","2019","연립다세대","중개거래","서울 동대문구"
"2024","11215","광진구","10500","자양동","1","대지","0218","0003","진연빌6차","20241227","66500","48.52","26.000000","3","","","2022","연립다세대","중개거래","서울 광진구"
"2024","11470","양천구","10300","신월동","1","대지","1033","0000","대성유니드","20241227","62200","76","0.000000","11","","20250121","2004","아파트","중개거래","서울 양천구"
"2024","11380","은평구","10500","구산동","1","대지","0020","0016","좋은빌(20-16)","20241227","26000","74.63","39.000000","2","","","2002","연립다세대","직거래",""
"2024","11620","관악구","10100","봉천동","1","대지","0876","0027","장원오피스텔","20241227","9000","17.68","17.680000","3","","","2002","오피스텔","중개거래","경기 성남시 분당구"
"2024","11620","관악구","10100","봉천동","1","대지","0876","0027","장원오피스텔","20241227","9000","17.67","17.670000","3","","","2002","오피스텔","중개거래","경기 성남시 분당구"
"2024","11620","관악구","10100","봉천동","1","대지","0876","0027","장원오피스텔","20241227","9000","16.7","16.700000","3","","","2002","오피스텔","중개거래","경기 성남시 분당구"
"2024","11290","성북구","10700","동소문동4가","1","대지","0118","0000","(118)","20241227","22000","18.445","28.832000","6","","","2019","오피스텔","중개거래","서울 종로구"
"2024","11620","관악구","10100","봉천동","1","대지","0876","0027","장원오피스텔","20241227","9000","16.68","16.680000","3","","","2002","오피스텔","중개거래","경기 성남시 분당구"
"2024","11410","서대문구","11900","북가좌동","1","대지","0342","0012","(342-12)","20241227","13450","28.72","20.000000","1","","","1993","연립다세대","직거래",""
"2024","11230","동대문구","10600","장안동","1","대지","0466","0005","장안푸르미에","20241227","12650","17.557","0.000000","6","","","2013","아파트","직거래",""
"2024","11710","송파구","11100","방이동","1","대지","0227","0001","인택스파크빌","20241227","60000","75.19","38.000000","2","","","2002","연립다세대","중개거래","서울 송파구"
"2024","11380","은평구","10700","응암동","1","대지","0099","0073","(99-73)","20241227","13500","37.6","33.000000","1","","","1986","연립다세대","직거래",""
"2024","11470","양천구","10100","신정동","1","대지","0925","0026","이호트라움10차","20241227","29500","43.21","26.000000","5","","","2015","연립다세대","직거래",""
"2024","11215","광진구","10500","자양동","1","대지","0227","0179","227-179","20241227","54000","20.16","25.000000","2","","","2016","연립다세대","중개거래","서울 광진구"
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","9","","","2018","연립다세대","직거래",""
"2024","11440","마포구","12500","성산동","1","대지","0591","0001","이안상암","20241227","55000","76.04","103.270000","10","","","2005","오피스텔","직거래",""
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","9","","","2018","연립다세대","직거래",""
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","9","","","2018","연립다세대","직거래",""
"2024","11410","서대문구","11200","대현동","1","대지","0090","0077","유씨유 이대","20241227","19100","17.66","30.740300","14","","","2018","오피스텔","중개거래","서울 서대문구"
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","9","","","2018","연립다세대","직거래",""
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","9","","","2018","연립다세대","직거래",""
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","9","","","2018","연립다세대","직거래",""
"2024","11560","영등포구","10100","영등포동","1","대지","0647","0000","영등포푸르지오","20241227","110000","73.133","0.000000","2","","20250110","2002","아파트","중개거래","서울 영등포구"
"2024","11260","중랑구","10400","묵동","1","대지","0245","0064","우성","20241227","29000","48.91","0.000000","4","","","1975","아파트","중개거래","서울 중랑구"
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","8","","","2018","연립다세대","직거래",""
"2024","11410","서대문구","11700","연희동","1","대지","0218","0011","THE연희힐","20241227","14684","13.48","7.000000","8","","","2018","연립다세대","직거래",""
"2024","11410","서대문구","11700","연희동","1","대지","0437","0019","연희동양빌라트","20241227","27000","42.02","298.000000","4","","","1998","연립다세대","중개거래","서울 서대문구"
"2024","11380","은평구","10600","대조동","1","대지","0186","0025","연신내역마에스트로","20241227","21500","29.88","44.070000","17","","","2013","오피스텔","중개거래","서울 은평구"
"2024","11560","영등포구","10300","영등포동2가","1","대지","0139","0000","여의도리미티오148","20241227","31500","24.385","0.000000","17","","","2022","아파트","중개거래","서울 영등포구"
"2024","11710","송파구","10400","송파동","1","대지","0012","0002","엘에이치송파도시형생활주택","20241227","20250","22.87","21.000000","2","","","2013","연립다세대","직거래",""
