접수연도,자치구코드,자치구명,법정동코드,법정동명,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,건축년도,역개수,학교수
2024,11710,송파구,10200,신천동,장미1,20241228,209000,71.2,0.0,1.0,1979.0,28,9
2024,11290,성북구,13300,정릉동,쌍용2,20241228,48700,59.9,0.0,4.0,1999.0,9,22
2024,11710,송파구,10800,문정동,파크하비오,20241228,70900,58.84,74.57,12.0,,28,8
2024,11380,은평구,10300,불광동,디앤제이하우징(281-89),20241228,28400,24.77,0.0,7.0,2022.0,13,26
2024,11170,용산구,13100,한남동,한남힐스테이트,20241228,181500,84.86,0.0,6.0,2003.0,10,4
2024,11410,서대문구,11100,홍제동,성지,20241228,20500,40.68,27.0,-1.0,1986.0,5,5
2024,11260,중랑구,10200,상봉동,"엘지,쌍용아파트",20241228,59500,68.12,0.0,9.0,1996.0,8,4
2024,11710,송파구,11200,오금동,송파호반베르디움더퍼스트,20241228,132000,101.463,0.0,5.0,2018.0,28,18
2024,11710,송파구,10800,문정동,힐스테이트에코문정,20241228,22500,20.79,32.68,5.0,2018.0,28,8
2024,11530,구로구,10700,개봉동,성부빌라B동(331-2,20241228,24800,59.78,39.0,2.0,1997.0,7,7
2024,11350,노원구,10400,하계동,장미(시영6),20241228,41000,39.92,0.0,6.0,1989.0,13,52
2024,11320,도봉구,10600,방학동,(346-10),20241228,4500,30.02,21.0,-1.0,1986.0,3,23
2024,11740,강동구,10600,둔촌동,올림픽파크 포레온,20241228,494000,167.98,0.0,35.0,0.0,15,15
2024,11470,양천구,10200,목동,목동리치빌(647),20241228,41000,71.53,41.0,3.0,2007.0,5,32
2024,11500,강서구,10500,마곡동,마곡시티오피스텔,20241228,16400,22.51,32.55,8.0,2016.0,9,8
2024,11740,강동구,10200,고덕동,고덕그라시움,20241228,148000,59.028,0.0,4.0,2019.0,15,30
2024,11440,마포구,12500,성산동,성사1차풍림아파트101동,20241228,65000,59.85,0.0,14.0,2000.0,16,11
2024,11590,동작구,10900,신대방동,대동빌라트,20241228,27500,42.89,19.0,3.0,1996.0,12,11
2024,11215,광진구,10700,화양동,씨즈건대힐스,20241228,16000,14.23,0.0,2.0,2017.0,11,19
2024,11380,은평구,10400,갈현동,골든빌(466-4),20241228,16200,29.9,18.0,4.0,2012.0,13,68
2024,11560,영등포구,11600,당산동6가,당산리버뷰,20241228,34300,24.24,12.0,5.0,2018.0,11,0
2024,11440,마포구,11700,신정동,서강GS,20241227,93000,59.98,0.0,5.0,1999.0,16,0
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,35227,27.78,40.24,12.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,22990,17.25,25.44,7.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,22990,17.25,25.44,6.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,23185,17.25,25.44,9.0,2023.0,6,5
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,22698,17.25,25.44,4.0,2023.0,6,5
